Probability of death for females by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1900,0.119694,0.036172,0.017817,0.012920,0.010306,0.007609,0.005501,0.003987,0.003058,0.002649,0.002642,0.002868,0.003138,0.003322,0.003462,0.003704,0.004106,0.004564,0.005063,0.005582,0.006149,0.006700,0.007124,0.007368,0.007478,0.007541,0.007627,0.007737,0.007897,0.008091,0.008286,0.008458,0.008613,0.008746,0.008865,0.008992,0.009134,0.009277,0.009425,0.009584,0.009769,0.009990,0.010246,0.010545,0.010892,0.011281,0.011730,0.012266,0.012904,0.013634,0.014448,0.015324,0.016243,0.017192,0.018192,0.019298,0.020517,0.021808,0.023166,0.024623,0.026266,0.028100,0.030064,0.032155,0.034434,0.036908,0.039712,0.043010,0.046894,0.051284,0.056272,0.061555,0.066713,0.071565,0.076428,0.081418,0.087271,0.094755,0.104280,0.115321,0.127633,0.140007,0.151286,0.160863,0.169619,0.178892,0.189785,0.202942,0.218501,0.236155,0.255462,0.275922,0.297044,0.318402,0.335097,0.352121,0.369939,0.388584,0.408092,0.428496,0.449921,0.472417,0.496038,0.520840,0.546882,0.574226,0.602937,0.633084,0.664738,0.697975,0.732874,0.769518,0.807994,0.848393,0.890813,0.935354,0.982121,1.000000,1.000000,1.000000
1901,0.104258,0.030606,0.015101,0.010957,0.008743,0.006605,0.004919,0.003679,0.002869,0.002444,0.002328,0.002419,0.002602,0.002796,0.003012,0.003327,0.003758,0.004234,0.004734,0.005240,0.005797,0.006340,0.006738,0.006934,0.006986,0.006972,0.006997,0.007101,0.007334,0.007655,0.008010,0.008316,0.008533,0.008622,0.008626,0.008595,0.008613,0.008730,0.008989,0.009352,0.009791,0.010214,0.010541,0.010722,0.010823,0.010909,0.011113,0.011532,0.012240,0.013172,0.014251,0.015343,0.016367,0.017255,0.018086,0.018960,0.020012,0.021310,0.022919,0.024787,0.026905,0.029123,0.031284,0.033308,0.035325,0.037512,0.040081,0.043130,0.046766,0.050934,0.055642,0.060694,0.065880,0.071102,0.076560,0.082249,0.088689,0.096503,0.105992,0.116740,0.128672,0.140737,0.151801,0.161308,0.170090,0.179399,0.190270,0.203308,0.218653,0.236027,0.255027,0.275194,0.296074,0.317273,0.333891,0.350082,0.367189,0.385272,0.404390,0.424609,0.445840,0.468132,0.491538,0.516115,0.541921,0.569017,0.597468,0.627341,0.658708,0.691644,0.726226,0.762537,0.800664,0.840697,0.882732,0.926869,0.973212,1.000000,1.000000,1.000000
1902,0.102616,0.030162,0.014885,0.010800,0.008618,0.006364,0.004600,0.003326,0.002530,0.002161,0.002125,0.002293,0.002521,0.002707,0.002878,0.003140,0.003532,0.003968,0.004431,0.004905,0.005426,0.005933,0.006305,0.006490,0.006540,0.006529,0.006553,0.006652,0.006872,0.007173,0.007505,0.007791,0.007988,0.008059,0.008045,0.008001,0.008004,0.008093,0.008307,0.008615,0.008982,0.009341,0.009647,0.009869,0.010047,0.010235,0.010510,0.010919,0.011502,0.012229,0.013062,0.013934,0.014808,0.015654,0.016512,0.017442,0.018511,0.019742,0.021168,0.022772,0.024584,0.026525,0.028484,0.030414,0.032407,0.034542,0.037002,0.039942,0.043467,0.047491,0.052064,0.056884,0.061570,0.065947,0.070313,0.074720,0.079912,0.086727,0.095591,0.105936,0.117516,0.129006,0.139107,0.147136,0.154055,0.161340,0.170222,0.181432,0.195146,0.211044,0.228652,0.247429,0.266840,0.286421,0.305751,0.325927,0.342739,0.359899,0.377906,0.396802,0.416642,0.437474,0.459348,0.482315,0.506431,0.531752,0.558340,0.586257,0.615570,0.646348,0.678666,0.712599,0.748229,0.785640,0.824922,0.866168,0.909477,0.954951,1.000000,1.000000
1903,0.098039,0.028193,0.013924,0.010105,0.008066,0.006218,0.004755,0.003667,0.002935,0.002522,0.002370,0.002406,0.002545,0.002727,0.002952,0.003277,0.003694,0.004119,0.004522,0.004902,0.005312,0.005727,0.006057,0.006272,0.006401,0.006494,0.006605,0.006748,0.006948,0.007185,0.007432,0.007656,0.007851,0.008002,0.008126,0.008246,0.008383,0.008534,0.008708,0.008903,0.009133,0.009382,0.009622,0.009845,0.010075,0.010338,0.010679,0.011130,0.011719,0.012431,0.013233,0.014105,0.015067,0.016119,0.017263,0.018519,0.019878,0.021312,0.022812,0.024399,0.026162,0.028084,0.030065,0.032081,0.034207,0.036529,0.039165,0.042189,0.045667,0.049578,0.053991,0.058759,0.063672,0.068649,0.073877,0.079353,0.085554,0.093055,0.102136,0.112425,0.123866,0.135499,0.146280,0.155700,0.164528,0.173924,0.184844,0.197850,0.213072,0.230258,0.249037,0.268985,0.289682,0.310641,0.326596,0.343282,0.360726,0.378959,0.398010,0.417911,0.438806,0.460747,0.483784,0.507973,0.533372,0.560041,0.588043,0.617445,0.648317,0.680733,0.714769,0.750508,0.788033,0.827435,0.868807,0.912247,0.957859,1.000000,1.000000,1.000000
1904,0.102720,0.028747,0.014194,0.010301,0.008221,0.006311,0.004821,0.003745,0.003070,0.002751,0.002715,0.002860,0.003074,0.003275,0.003479,0.003771,0.004166,0.004577,0.004979,0.005369,0.005788,0.006205,0.006529,0.006727,0.006831,0.006897,0.006982,0.007102,0.007280,0.007499,0.007726,0.007931,0.008112,0.008257,0.008378,0.008506,0.008650,0.008793,0.008938,0.009092,0.009274,0.009490,0.009738,0.010023,0.010355,0.010726,0.011161,0.011700,0.012362,0.013133,0.014014,0.014956,0.015897,0.016808,0.017737,0.018729,0.019878,0.021253,0.022905,0.024793,0.026962,0.029251,0.031438,0.033425,0.035381,0.037408,0.039876,0.043133,0.047391,0.052434,0.058189,0.064089,0.069552,0.074270,0.078693,0.083200,0.088697,0.095904,0.105284,0.116313,0.128586,0.140987,0.152615,0.162942,0.172716,0.183070,0.194933,0.208836,0.224881,0.242791,0.262177,0.282602,0.303637,0.324910,0.346084,0.366814,0.385235,0.404553,0.424810,0.446051,0.468353,0.491771,0.516360,0.542178,0.569286,0.597751,0.627638,0.659020,0.691971,0.726570,0.762898,0.801043,0.841095,0.883150,0.927308,0.973673,1.000000,1.000000,1.000000,1.000000
1905,0.103581,0.026746,0.013218,0.009595,0.007659,0.005851,0.004441,0.003426,0.002792,0.002499,0.002475,0.002620,0.002824,0.003009,0.003192,0.003455,0.003818,0.004202,0.004586,0.004964,0.005374,0.005780,0.006094,0.006279,0.006372,0.006422,0.006496,0.006621,0.006829,0.007091,0.007376,0.007629,0.007823,0.007934,0.007988,0.008034,0.008114,0.008237,0.008424,0.008666,0.008938,0.009227,0.009548,0.009900,0.010285,0.010731,0.011223,0.011726,0.012229,0.012758,0.013349,0.014045,0.014867,0.015840,0.016958,0.018193,0.019539,0.021023,0.022652,0.024425,0.026406,0.028541,0.030710,0.032871,0.035111,0.037544,0.040306,0.043463,0.047088,0.051153,0.055633,0.060446,0.065538,0.070879,0.076549,0.082724,0.089466,0.096699,0.104438,0.112749,0.121890,0.131785,0.142145,0.152907,0.164306,0.176658,0.190222,0.205155,0.221503,0.239215,0.258200,0.278347,0.299533,0.321639,0.343959,0.362642,0.381949,0.401871,0.422399,0.443519,0.465695,0.488979,0.513428,0.539100,0.566055,0.594358,0.624075,0.655279,0.688043,0.722445,0.758568,0.796496,0.836321,0.878137,0.922044,0.968146,1.000000,1.000000,1.000000,1.000000
1906,0.106581,0.028640,0.014142,0.010263,0.008191,0.005988,0.004284,0.003084,0.002378,0.002112,0.002180,0.002439,0.002723,0.002919,0.003065,0.003294,0.003650,0.004033,0.004424,0.004813,0.005238,0.005656,0.005973,0.006150,0.006228,0.006257,0.006314,0.006436,0.006658,0.006947,0.007260,0.007534,0.007737,0.007841,0.007876,0.007907,0.007973,0.008051,0.008154,0.008289,0.008426,0.008602,0.008894,0.009334,0.009887,0.010537,0.011195,0.011764,0.012191,0.012544,0.012920,0.013434,0.014132,0.015069,0.016213,0.017490,0.018850,0.020315,0.021875,0.023543,0.025411,0.027444,0.029520,0.031605,0.033780,0.036154,0.038853,0.041945,0.045498,0.049492,0.053911,0.058674,0.063717,0.069007,0.074632,0.080733,0.087418,0.094700,0.102627,0.111205,0.120686,0.130848,0.141239,0.151718,0.162630,0.174465,0.187624,0.202345,0.218695,0.236585,0.255873,0.276386,0.297943,0.320375,0.339998,0.359436,0.379341,0.399668,0.420368,0.441387,0.463456,0.486629,0.510960,0.536508,0.563334,0.591500,0.621076,0.652129,0.684736,0.718973,0.754921,0.792667,0.832301,0.873916,0.917611,0.963492,1.000000,1.000000,1.000000,1.000000
1907,0.102300,0.026533,0.013114,0.009519,0.007599,0.005654,0.004141,0.003063,0.002407,0.002128,0.002140,0.002328,0.002560,0.002745,0.002908,0.003148,0.003499,0.003880,0.004275,0.004672,0.005111,0.005540,0.005847,0.005986,0.006007,0.005973,0.005980,0.006087,0.006341,0.006699,0.007089,0.007433,0.007709,0.007883,0.007984,0.008085,0.008214,0.008334,0.008448,0.008571,0.008695,0.008858,0.009118,0.009505,0.009992,0.010572,0.011174,0.011728,0.012195,0.012631,0.013103,0.013713,0.014524,0.015590,0.016874,0.018305,0.019819,0.021408,0.023051,0.024774,0.026706,0.028824,0.030980,0.033140,0.035400,0.037857,0.040679,0.043994,0.047898,0.052336,0.057302,0.062616,0.068095,0.073650,0.079455,0.085609,0.092479,0.100414,0.109611,0.119838,0.131219,0.143012,0.154275,0.164604,0.174697,0.185583,0.198110,0.212772,0.229684,0.248624,0.269267,0.291236,0.314156,0.333857,0.352662,0.372081,0.392098,0.412695,0.433852,0.455544,0.478322,0.502238,0.527350,0.553717,0.581403,0.610473,0.640997,0.673047,0.706699,0.742034,0.779136,0.818092,0.858997,0.901947,0.947044,0.994396,1.000000,1.000000,1.000000,1.000000
1908,0.098422,0.025141,0.012435,0.009028,0.007208,0.005369,0.003942,0.002928,0.002317,0.002063,0.002085,0.002271,0.002495,0.002667,0.002813,0.003034,0.003358,0.003699,0.004038,0.004368,0.004731,0.005090,0.005359,0.005503,0.005560,0.005575,0.005618,0.005728,0.005941,0.006224,0.006534,0.006810,0.007025,0.007152,0.007219,0.007281,0.007374,0.007490,0.007641,0.007828,0.008030,0.008259,0.008549,0.008912,0.009337,0.009833,0.010359,0.010865,0.011326,0.011781,0.012284,0.012897,0.013647,0.014565,0.015639,0.016835,0.018131,0.019541,0.021061,0.022703,0.024543,0.026550,0.028623,0.030732,0.032953,0.035360,0.038084,0.041223,0.044854,0.048931,0.053508,0.058395,0.063347,0.068257,0.073331,0.078701,0.084795,0.092013,0.100589,0.110265,0.121030,0.132171,0.142894,0.152826,0.162575,0.173048,0.184992,0.198843,0.214701,0.232370,0.251562,0.271944,0.291172,0.309688,0.328514,0.347776,0.367416,0.387373,0.407577,0.427956,0.449354,0.471822,0.495413,0.520183,0.546193,0.573502,0.602177,0.632286,0.663901,0.697096,0.731950,0.768548,0.806975,0.847324,0.889690,0.934175,0.980883,1.000000,1.000000,1.000000
1909,0.093674,0.024274,0.012012,0.008723,0.006965,0.005146,0.003731,0.002724,0.002114,0.001859,0.001876,0.002053,0.002263,0.002416,0.002539,0.002735,0.003036,0.003363,0.003702,0.004044,0.004418,0.004787,0.005069,0.005231,0.005306,0.005349,0.005415,0.005523,0.005696,0.005918,0.006148,0.006359,0.006559,0.006740,0.006908,0.007091,0.007283,0.007448,0.007575,0.007685,0.007792,0.007940,0.008176,0.008527,0.008970,0.009498,0.010042,0.010533,0.010932,0.011296,0.011685,0.012206,0.012931,0.013918,0.015124,0.016495,0.017936,0.019390,0.020813,0.022266,0.023857,0.025667,0.027694,0.029973,0.032504,0.035320,0.038382,0.041625,0.045031,0.048673,0.052616,0.056990,0.061901,0.067426,0.073516,0.080135,0.087157,0.094484,0.102056,0.109974,0.118718,0.128163,0.137756,0.147371,0.157384,0.168323,0.180625,0.194560,0.210216,0.227524,0.246351,0.266536,0.287902,0.310282,0.329664,0.349149,0.368990,0.389120,0.409461,0.429934,0.451431,0.474003,0.497703,0.522588,0.548717,0.576153,0.604961,0.635209,0.666969,0.700318,0.735334,0.772100,0.810705,0.851241,0.893803,0.938493,0.985417,1.000000,1.000000,1.000000
